key,dataset_id,title,description,default_order,default_date_field,landing_page_url,topic
nyc_311_2010_2019,76ig-c548,NYC 311 Service Requests 2010 to 2019,Downloads NYC 311 Service Request from 2010 to 2019 data from NYC Open Data.,created_date DESC,created_date,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2010-to-2019/76ig-c548/about_data,Social Services
nyc_311,erm2-nwe9,NYC 311 Service Requests 2020 to Present,Downloads NYC 311 Service Request data from NYC Open Data.,created_date DESC,created_date,https://data.cityofnewyork.us/Social-Services/311-Service-Requests-from-2020-to-Present/erm2-nwe9/about_data,Social Services
nyc_borough_community_report,5awp-wfkt,NYC Borough/Community District Report,Downloads Borough/Community District Report data from NYC Open Data.,month DESC,month,https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report/5awp-wfkt/about_data,Social Services
nyc_borough_population,xywu-7bv9,"New York City Population by Borough, 1950 - 2040",Downloads historical and projected NYC population data by borough from NYC Open Data.,,,https://data.cityofnewyork.us/City-Government/New-York-City-Population-by-Borough-1950-2040/xywu-7bv9/about_data,City Government & Administration
nyc_cause_of_death,jb7j-dtam,New York City Leading Causes of Death,Downloads New York City Leading Causes of Death data from NYC Open Data.,year DESC,year,https://data.cityofnewyork.us/Health/New-York-City-Leading-Causes-of-Death/jb7j-dtam/about_data,Health
nyc_city_record,dg92-zbpx,City Record Online,Downloads City Record Online data from NYC Open Data.,start_date DESC,start_date,https://data.cityofnewyork.us/City-Government/City-Record-Online/dg92-zbpx/about_data,City Government & Administration
nyc_civil_service_list,vx8i-nprf,NYC Civil Service List (Active),Downloads Civil Service List (Active) data from NYC Open Data.,published_date DESC,published_date,https://data.cityofnewyork.us/City-Government/Civil-Service-List-Active-/vx8i-nprf/about_data,City Government & Administration
nyc_daily_attendance_2018_2019,x3bb-kg5j,2018-2019 Daily Attendance,Downloads 2018-2019 Daily Student Attendance from NYC Open Data.,date DESC,date,https://data.cityofnewyork.us/Education/2018-2019-Daily-Attendance/x3bb-kg5j/about_data,Education
nyc_detention_admissions,2hrw-qfsu,NYC Detention Admissions by Community District,Downloads Detention Admissions by Community District data from NYC Open Data.,calendar_year DESC,calendar_year,https://data.cityofnewyork.us/Social-Services/Detention-Admissions-by-Community-District/2hrw-qfsu/about_data,Social Services
nyc_dhs_daily_report,k46n-sa2m,NYC Department of Homeless Services (DHS) Daily Report,Department of Homeless Services (DHS) Daily Report,date_of_census DESC,date_of_census,https://data.cityofnewyork.us/Social-Services/DHS-Daily-Report/k46n-sa2m/about_data,Social Services
nyc_dob_job_applications,ic3t-wcy2,NYC DOB Job Application Filings,Downloads DOB Job Application Filings data from NYC Open Data.,latest_action_date DESC,latest_action_date,https://data.cityofnewyork.us/Housing-Development/DOB-Job-Application-Filings/ic3t-wcy2/about_data,Housing & Development
nyc_dob_permit_issuance,ipu4-2q9a,DOB Permit Issuance,Downloads DOB Permit Issuance data from NYC Open Data.,filing_date DESC,filing_date,https://data.cityofnewyork.us/Housing-Development/DOB-Permit-Issuance/ipu4-2q9a/about_data,Housing & Development
nyc_domestic_violence_annual_report,7t9i-jsfp,"Annual Report on Domestic Violence Initiatives, Indicators and Factors","Downloads Annual Report on Domestic Violence Initiatives, Indicators and Factors data from NYC Open Data.",year DESC,year,https://data.cityofnewyork.us/Social-Services/Annual-Report-on-Domestic-Violence-Initiatives-Ind/7t9i-jsfp/about_data,Social Services
nyc_events_sealevel,38ps-fnsg,NYC Climate Projections: Extreme Events and Sea Level Rise,"Downloads NYC Climate Projections data on extreme events (heatwaves, degree days) and sea level rise.",,,https://data.cityofnewyork.us/resource/38ps-fnsg,Environment & Parks
nyc_medallion_drivers_authorized,rhe8-mgbb,Medallion Vehicles - Authorized,Downloads Medallion Vehicles - Authorized data from NYC Open Data.,last_updated_date DESC,last_updated_date,https://data.cityofnewyork.us/Transportation/Medallion-Vehicles-Authorized/rhe8-mgbb/about_data,Transportation
nyc_motor_vehicle_collisions_crashes,h9gi-nx95,Motor Vehicle Collisions - Crashes,Downloads Motor Vehicle Collisions - Crashes data from NYC Open Data.,crash_date DESC,crash_date,https://data.cityofnewyork.us/Public-Safety/Motor-Vehicle-Collisions-Crashes/h9gi-nx95/about_data,Public Safety
nyc_museum_locations,fn6f-htvy,MUSEUM,Downloads Locations of New York City Museums from NYC Open Data.,,,https://data.cityofnewyork.us/Recreation/MUSEUM/fn6f-htvy/about_data,Culture & Recreation
nyc_nypd_hate_crimes,bqiq-cu78,NYC NYPD Hate Crimes,Downloads NYPD Hate Crimes data from NYC Open Data.,record_create_date DESC,record_create_date,https://data.cityofnewyork.us/Public-Safety/NYPD-Hate-Crimes/bqiq-cu78/about_data,Public Safety
nyc_open_parking_camera_violations,nc67-uf89,Open Parking and Camera Violations,Downloads Open Parking and Camera Violations data from NYC Open Data.,issue_date DESC,issue_date,https://data.cityofnewyork.us/City-Government/Open-Parking-and-Camera-Violations/nc67-uf89/about_data,City Government & Administration
nyc_period_attendance_reporting,hrsu-3w2q,Statistical Summary Period Attendance Reporting (PAR),Downloads Statistical Summary Period Attendance Reporting (PAR) from NYC Open Data.,year DESC,year,https://data.cityofnewyork.us/Education/Statistical-Summary-Period-Attendance-Reporting-PA/hrsu-3w2q/about_data,Education
nyc_permit_events_historic,bkfu-528j,NYC Permitted Event Information - Historical,Downloads historical permitted event data from NYC Open Data.,start_date_time DESC,start_date_time,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information-Historical/bkfu-528j/about_data,City Government & Administration
nyc_pets_in_shelters,5nux-zfmw,NYC Pets in Shelter Report,Local Law 97 of 2021 - Pets in Shelter Report from NYC Open Data.,date_year DESC,date_year,https://data.cityofnewyork.us/Social-Services/Local-Law-97-of-2021-Pets-in-Shelter-Report/5nux-zfmw/about_data,Social Services
nyc_restaurant_inspection_results,43nn-pn8j,DOHMH New York City Restaurant Inspection Results,Downloads DOHMH New York City Restaurant Inspection Results from NYC Open Data.,inspection_date DESC,inspection_date,https://data.cityofnewyork.us/Health/DOHMH-New-York-City-Restaurant-Inspection-Results/43nn-pn8j/about_data,Health
nyc_runaway_and_homeless_youth_daily_census,5rw7-99k7,NYC Runaway and Homeless Youth (RHY) Daily Census,Runaway and Homeless Youth (RHY) Daily Census,date DESC,date,https://data.cityofnewyork.us/Social-Services/Runaway-and-Homeless-Youth-RHY-Daily-Census/5rw7-99k7/about_data,Social Services
nyc_school_discharge_report_2013_2015,r773-ytwa,2013-2015 School Closure Discharge Reporting,Downloads 2013-2015 School Closure Discharge Reporting data from NYC Open Data.,school_year DESC,school_year,https://data.cityofnewyork.us/Education/2013-2015-School-Closure-Discharge-Reporting/r773-ytwa/about_data,Education
nyc_school_discharge_report_2015_2018,abh8-frsx,2015-2018 School Closure Discharge Reporting,Downloads 2015-2018 School Closure Discharge Reporting data from NYC Open Data.,school_year DESC,school_year,https://data.cityofnewyork.us/Education/2015-2018-School-Closure-Discharge-Reporting/abh8-frsx/about_data,Education
nyc_school_discharge,a2gn-nyzs,NYC School Discharge Reporting (Local Law 42),Downloads School Discharge Reporting (Local Law 42) data from NYC Open Data.,year DESC,year,https://data.cityofnewyork.us/Education/School-Discharge-Reporting-Local-Law-42-/a2gn-nyzs/about_data,Education
nyc_shooting_incidents,98wc-x49t,NYPD Shootings,Downloads NYPD Shooting Incident data from NYC Open Data.,occur_date DESC,occur_date,https://data.cityofnewyork.us/Public-Safety/NYPD-Shootings/98wc-x49t/about_data,Public Safety
nyc_slash_stab,gakf-suji,Inmate Incidents - Slashing and Stabbing,Downloads Inmate Incidents - Slashing and Stabbing data from NYC Open Data.,incident_type DESC,incident_type,https://data.cityofnewyork.us/Public-Safety/Inmate-Incidents-Slashing-and-Stabbing/gakf-suji/about_data,Public Safety
nyc_street_hail_livery_active,5tub-eh45,Street Hail Livery (SHL) Drivers - Active,Downloads Street Hail Livery (SHL) Drivers - Active data from NYC Open Data.,last_update_date DESC,last_update_date,https://data.cityofnewyork.us/Transportation/Street-Hail-Livery-SHL-Drivers-Active/5tub-eh45/about_data,Transportation
nyc_tlc_new_driver_app_status,dpec-ucu7,NYC TLC New Driver Application Status,Downloads TLC New Driver Application Status data from NYC Open Data.,app_date DESC,app_date,https://data.cityofnewyork.us/Transportation/TLC-New-Driver-Application-Status/dpec-ucu7/about_data,Transportation
nyc_tree_census_2015,uvpi-gqnh,NYC 2015 Street Tree Census - Tree Data,Downloads 2015 Street Tree Census - Tree Data from NYC Open Data.,created_at DESC,created_at,https://data.cityofnewyork.us/Environment/2015-Street-Tree-Census-Tree-Data/uvpi-gqnh/about_data,Environment & Parks
nyc_urban_park_animal_condition,fuhs-xmg2,NYC Urban Park Ranger Animal Condition Response,Downloads Urban Park Ranger Animal Condition Response data from NYC Open Data.,date_and_time_of_initial DESC,date_and_time_of_initial,https://data.cityofnewyork.us/Environment/Urban-Park-Ranger-Animal-Condition-Response/fuhs-xmg2/about_data,Environment & Parks
nyc_violent_disruptive_school_incidents,fpci-ws56,NYC Violent and Disruptive Incidents,Downloads Violent and Disruptive Incidents data from NYC Open Data.,school_year DESC,school_year,https://data.cityofnewyork.us/Public-Safety/Violent-and-Disruptive-Incidents/fpci-ws56/about_data,City Government & Administration
